Status (stts_name),<SLIMSGUID>,Mouse Name,Weight of Refence,Weight Experimet day,Relative weight,Behavioral task,Session Number,Session Type,User (user_userName),Ear tag,Start date,End date,Sex_bin,strain,mutations,Birth date,licence,DG,ExpEnd,Created on
Removed,ef1a0ac3-fe19-4a74-90bc-d6f886a1a717,LB034,22.7,19.5,85.90308370044053,WDT,7,Trained,lbanterl,CPE-J30572,01/10/2018,19/10/2018,m,C57BL/6JRj,WT,18/08/2018,1628.6,3,0,24/09/2018 15:20:31
Removed,3ad8c5bf-e197-47fa-af9a-a7b4b0a503cb,LB035,25.1,23.0,91.63346613545816,WDT,17,Trained,lbanterl,CPE-J30546,01/10/2018,09/11/2018,m,C57BL/6JRj,WT,18/08/2018,1628.6,3,0,24/09/2018 15:20:30
Removed,aa827e41-3085-4ff5-9610-28040ab75119,LB036,19.8,19.8,100.0,No Task,1,Naive,lbanterl,CPE-J30617,15/10/2018,02/11/2018,f,C57BL/6JRj,WT,20/08/2018,1628.6,3,0,09/10/2018 10:45:11
Removed,ed4c3496-cf99-49f5-9c4f-2dd3f8e4d8d1,LB037,20.5,20.5,100.0,No Task,1,Naive,lbanterl,CPE-J30619,15/10/2018,13/11/2018,f,C57BL/6JRj,WT,20/08/2018,1628.6,3,0,09/10/2018 10:45:11
Removed,c6acc733-bdff-461c-8ca0-afcffaebe408,LB039,23.4,20.6,88.03418803418803,WDT,1,D1,lbanterl,CPE-J31097,22/10/2018,23/11/2019,m,C57BL/6JRj,WT,14/09/2018,1628.6,3,0,17/10/2018 09:50:47
Removed,dfae02d9-befc-4fe1-b377-d53ad8d0f502,LB042,20.2,17.2,85.14851485148515,WDT,1,D1,lbanterl,CPE-J31282,06/11/2018,15/11/2018,f,C57BL/6JRj,WT,20/09/2018,1628.6,3,0,31/10/2018 15:29:31
Removed,4b82cb0b-bdba-4854-a741-9c35360902fa,LB043,17.9,17.9,100.0,No Task,1,Naive,lbanterl,CPE-J31478,12/11/2018,27/11/2018,f,C57BL/6JRj,WT,30/09/2018,1628.6,3,0,06/11/2018 09:10:39
Removed,d0676ba9-1422-41f1-9def-9bb119817d36,LB044,17.4,17.4,100.0,No Task,1,Naive,lbanterl,CPE-J31479,12/11/2018,04/12/2018,f,C57BL/6JRj,WT,30/09/2018,1628.6,3,0,06/11/2018 09:10:39
Removed,e76ed19e-025c-4469-9632-9983048115ae,LB045,16.1,15.6,96.89440993788818,WDT,1,D1,lbanterl,CPE-J31552,19/11/2018,29/11/2018,f,C57BL/6JRj,WT,06/10/2018,1628.6,3,0,14/11/2018 10:28:34
Removed,6e2e142d-8774-4ffa-a5a2-42db88a66b78,LB046,18.3,15.7,85.79234972677595,WDT,6,Trained,lbanterl,CPE-J31549,19/11/2018,05/12/2018,f,C57BL/6JRj,WT,06/10/2018,1628.6,3,0,14/11/2018 10:28:33
Removed,1dad9f20-0fb4-4185-b888-25377deed5d8,LB047,17.8,15.9,89.32584269662921,WDT,1,D1,lbanterl,CPE-J31551,19/11/2018,01/12/2018,f,C57BL/6JRj,WT,06/10/2018,1628.6,3,0,14/11/2018 10:28:33
Removed,85c9cd00-9851-4cd8-a457-789198123fd5,LS001,22.4,19.8,88.39285714285715,WDT,24,Trained,lschmid,CPE-J29883,10/09/2018,01/11/2018,f,C57BL/6JRj,WT,21/07/2018,1628.6,3,0,03/09/2018 10:02:33
Removed,a3a0043b-39ec-46c9-9335-6b89457b175f,LS003,20.4,17.4,85.29411764705881,WDT,8,Trained,lschmid,CPE-J29886,10/09/2018,05/10/2018,f,C57BL/6JRj,WT,21/07/2018,1628.6,3,0,03/09/2018 10:02:34
Removed,4afca670-e3b2-4e43-ad9d-ece0e86e47e2,SC014,25.7,25.7,100.0,No Task,1,Naive,crochet,CPE-J13299,24/08/2016,08/09/2016,m,C57BL/6JRj,WT,12/07/2016,1628.6,2,0,16/08/2016 11:02:50
Removed,87af76d8-6b1d-4fcb-9099-1631a7a74b52,SC016,24.5,24.5,100.0,No Task,1,Naive,crochet,CPE-J13301,24/08/2016,13/09/2016,m,C57BL/6JRj,WT,12/07/2016,1628.6,2,0,16/08/2016 11:02:51
Removed,2897158f-b0f8-407d-b368-e6e233ada613,SC017,26.0,26.0,100.0,No Task,1,Naive,crochet,CPE-J13302,24/08/2016,15/09/2016,m,C57BL/6JRj,WT,12/07/2016,1628.6,2,0,16/08/2016 11:02:52
